City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rapar,IN,2021-05-26 22:51:23,23.5667,70.6333,301.57,76,44,7.72
1,Shunyi,CN,2021-05-26 22:52:14,40.125,116.6453,294.3,94,0,2.0
2,Aripuana,BR,2021-05-26 22:54:36,-9.1667,-60.6333,298.45,66,15,0.83
3,Hobyo,SO,2021-05-26 22:54:38,5.3505,48.5268,299.06,78,86,8.59
4,Iqaluit,CA,2021-05-26 22:54:40,63.7506,-68.5145,273.0,69,75,2.24
5,Avarua,CK,2021-05-26 22:54:41,-21.2078,-159.775,300.18,83,20,3.6
6,Rikitea,PF,2021-05-26 22:51:17,-23.1203,-134.9692,297.31,74,93,8.64
7,Ribeira Grande,PT,2021-05-26 22:54:43,38.5167,-28.7,288.68,69,93,7.25
8,New Norfolk,AU,2021-05-26 22:54:45,-42.7826,147.0587,281.9,60,66,1.34
9,Kodiak,US,2021-05-26 22:54:46,57.79,-152.4072,285.25,60,0,1.14
10,Mataura,NZ,2021-05-26 22:54:37,-46.1927,168.8643,282.86,70,92,1.83
11,Yellowknife,CA,2021-05-26 22:54:48,62.456,-114.3525,283.89,34,90,1.34
12,Sitka,US,2021-05-26 22:54:50,57.0531,-135.33,283.51,75,89,1.82
13,Praya,CV,2021-05-26 22:54:51,14.9215,-23.5087,295.45,78,20,9.26
14,Busselton,AU,2021-05-26 22:54:52,-33.65,115.3333,283.17,66,47,6.55
15,Ushuaia,AR,2021-05-26 22:54:53,-54.8,-68.3,270.96,100,90,8.23
16,Nelson Bay,AU,2021-05-26 22:54:55,-32.7167,152.15,286.54,69,1,1.34
17,Atambua,ID,2021-05-26 22:51:08,-9.1061,124.8925,296.12,78,62,2.58
18,Vaini,TO,2021-05-26 22:54:57,-21.2,-175.2,299.24,73,20,4.63
19,Arraial Do Cabo,BR,2021-05-26 22:54:58,-22.9661,-42.0278,295.58,77,8,5.42
20,Albany,US,2021-05-26 22:55:00,42.6001,-73.9662,294.63,92,67,2.14
21,Gbadolite,CD,2021-05-26 22:55:01,4.2833,21.0167,294.07,98,92,1.85
22,Puerto Ayora,EC,2021-05-26 22:54:48,-0.7393,-90.3518,302.13,90,42,2.24
23,La Baule-Escoublac,FR,2021-05-26 22:55:04,47.2922,-2.364,286.05,93,90,3.41
24,Namibe,AO,2021-05-26 22:54:16,-15.1961,12.1522,296.49,70,0,1.25
25,Redcar,GB,2021-05-26 22:55:09,54.6166,-1.06,283.19,74,59,2.78
26,Saint Anthony,US,2021-05-26 22:55:10,45.0205,-93.218,292.0,43,8,1.34
27,Mahebourg,MU,2021-05-26 22:55:11,-20.4081,57.7,295.51,94,40,0.0
28,Pestravka,RU,2021-05-26 22:55:12,52.405,49.9583,285.74,74,21,3.79
29,Udachnyy,RU,2021-05-26 22:55:14,66.4167,112.4,284.66,51,68,2.27
30,Butaritari,KI,2021-05-26 22:55:15,3.0707,172.7902,301.75,78,86,9.02
31,Muscle Shoals,US,2021-05-26 22:55:16,34.7448,-87.6675,297.73,87,94,1.79
32,Koumac,NC,2021-05-26 22:55:18,-20.5667,164.2833,295.7,52,31,3.86
33,Upernavik,GL,2021-05-26 22:55:19,72.7868,-56.1549,273.68,91,100,5.04
34,Abu Samrah,SY,2021-05-26 22:55:21,35.3029,37.1841,295.51,38,0,2.24
35,Bredasdorp,ZA,2021-05-26 22:55:22,-34.5322,20.0403,284.97,93,100,1.64
36,Hit,IQ,2021-05-26 22:55:24,33.6416,42.8251,302.17,19,0,2.87
37,Byron Bay,AU,2021-05-26 22:51:05,-28.65,153.6167,293.18,68,61,5.69
38,Narsaq,GL,2021-05-26 22:55:26,60.9167,-46.05,275.51,99,100,1.08
39,Bubaque,GW,2021-05-26 22:55:27,11.2833,-15.8333,298.98,76,80,7.09
40,Saskylakh,RU,2021-05-26 22:53:08,71.9167,114.0833,275.75,89,100,5.48
41,Chapayevka,UA,2021-05-26 22:55:29,47.4711,36.3451,290.86,60,69,1.12
42,Qaanaaq,GL,2021-05-26 22:55:32,77.484,-69.3632,274.32,79,26,1.15
43,Saint-Philippe,RE,2021-05-26 22:55:33,-21.3585,55.7679,293.92,84,29,1.22
44,Sainte-Anne-Des-Monts,CA,2021-05-26 22:51:43,49.124,-66.4924,281.08,100,100,3.65
45,Saint George,US,2021-05-26 22:55:35,37.1041,-113.5841,306.41,10,1,2.68
46,Kharakvasla,IN,2021-05-26 22:55:37,18.4333,73.7667,296.55,79,98,4.93
47,Tortoli,IT,2021-05-26 22:55:38,39.9256,9.6572,289.25,74,5,1.88
48,Rakitnoye,RU,2021-05-26 22:55:39,50.8389,35.8515,292.29,87,34,2.12
49,Atuona,PF,2021-05-26 22:55:40,-9.8,-139.0333,299.33,76,72,5.62
50,Vorokhta,UA,2021-05-26 22:55:42,48.2869,24.5719,281.33,93,2,1.74
51,Port Alfred,ZA,2021-05-26 22:54:11,-33.5906,26.891,288.86,79,92,2.5
52,Fairbanks,US,2021-05-26 22:52:05,64.8378,-147.7164,291.34,29,75,0.0
53,Huilong,CN,2021-05-26 22:55:45,31.8111,121.655,293.73,88,94,4.86
54,Georgetown,MY,2021-05-26 22:55:46,5.4112,100.3354,299.2,94,40,0.0
55,Labuhan,ID,2021-05-26 22:51:22,-6.8844,112.2051,298.7,86,42,4.3
56,Craigieburn,AU,2021-05-26 22:55:49,-37.6,144.95,284.93,86,75,4.55
57,Nikolskoye,RU,2021-05-26 22:55:50,59.7035,30.7861,281.09,97,76,2.95
58,Palatka,US,2021-05-26 22:55:52,29.6486,-81.6376,306.18,55,58,4.26
59,Aden,YE,2021-05-26 22:55:54,12.7794,45.0367,303.13,71,8,6.24
60,Faanui,PF,2021-05-26 22:55:55,-16.4833,-151.75,300.73,69,20,5.67
61,Kampot,KH,2021-05-26 22:55:56,10.6167,104.1833,301.18,89,99,3.18
62,Bambous Virieux,MU,2021-05-26 22:55:58,-20.3428,57.7575,295.49,94,40,2.0
63,Beringovskiy,RU,2021-05-26 22:56:00,63.05,179.3167,273.99,89,99,6.7
64,Bilibino,RU,2021-05-26 22:56:02,68.0546,166.4372,282.61,53,100,2.56
65,Tazovskiy,RU,2021-05-26 22:56:04,67.4667,78.7,270.58,84,32,2.17
66,Bozova,TR,2021-05-26 22:56:05,37.3625,38.5267,299.66,18,0,1.7
67,East London,ZA,2021-05-26 22:56:06,-33.0153,27.9116,290.86,83,95,3.23
68,Tiksi,RU,2021-05-26 22:56:09,71.6872,128.8694,274.77,93,60,1.36
69,Asau,RO,2021-05-26 22:56:10,46.4333,26.4,287.26,98,86,0.85
70,Leningradskiy,RU,2021-05-26 22:56:11,69.3833,178.4167,274.46,85,26,3.13
71,Massakory,TD,2021-05-26 22:56:12,12.996,15.7293,303.99,6,7,4.53
